smiles,freesolv,description,chembl_id
CC(C)CO,-4.5,"This molecule appears as a clear colorless liquid with a sweet odor. Flash point 85 - 100 °F. Less dense than water. Vapors heavier than air. This molecule is an alkyl alcohol that is propan-1-ol substituted by a methyl group at position 2. It has a role as a Saccharomyces cerevisiae metabolite. It is a primary alcohol and an alkyl alcohol. It derives from a hydride of an isobutane. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Angelica gigas, Tuber melanosporum, and other organisms with data available.",CHEMBL269630
CCCOC(=O)CC,-2.44,"This molecule is a propanoate ester resulting from the formal condensation of the hydroxy group of propanol with the carboxy group of propanoic acid. It has a role as a human metabolite, a rat metabolite, a biomarker and a fungal metabolite. It is functionally related to a propan-1-ol. This molecule is a natural product found in Solanum lycopersicum, Carica papaya, and Tagetes minuta with data available.",CHEMBL3185284
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,,
CSc1ccccc1,-2.73,This molecule is an aryl sulfide that is thiophenol in which the hydrogen of the thiol group has been replaced by a methyl group. It is an aryl sulfide and a member of benzenes. It is functionally related to a thiophenol.,CHEMBL192899
CCc1ccccc1O,-5.66,"This molecule is a yellow liquid. Freezing point -18 °C. Flash point 172 °F. This molecule is a member of phenols. This molecule is a natural product found in Saussurea involucrata, Cichorium endivia, and other organisms with data available.",CHEMBL321029
CC(C)(C)Cl,1.09,,CHEMBL346997
CC(=C)C=C,0.68,,
Cc1ccc(cc1)C(C)C,-0.68,,
Cn1ccnc1,-8.41,This molecule is a 1H-imidazole having a methyl substituent at the N-1 position.,CHEMBL543
C(CO)O,-9.3,,
c1ccc(c(c1)Cl)Cl,-1.36,,
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83,,
CCCOC=O,-2.48,This molecule appears as a clear colorless liquid with a pleasant odor. Slightly soluble in water and less dense than water. Hence floats on water. Vapors are heavier than air. This molecule is a carboxylic ester. This molecule is a natural product found in Aloe africana with data available.,CHEMBL2270393
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,,
CCCCCC(=O)O,-6.21,"This molecule appears as a white crystalline solid or colorless to light yellow solution with an unpleasant odor. Insoluble to slightly soluble in water and less dense than water. Contact may severely irritate skin, eyes and mucous membranes. May be toxic by ingestion, inhalation and skin absorption. Used to make perfumes. This molecule is a C6, straight-chain saturated fatty acid. It has a role as a human metabolite and a plant metabolite. It is a straight-chain saturated fatty acid and a medium-chain fatty acid. It is a conjugate acid of a hexanoate. This molecule is a saturated medium-chain fatty acid with a 6-carbon backbone. Caproic acid is found naturally in various plant and animal fats and oils. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Humulus lupulus, Truncocolumella citrina, and other organisms with data available. This molecule is a colorless oily liquid smelling of cheese. This molecule is a fatty acid found naturally in various animal fats and oils. Caproic acid is a medium chain triglycerides (MCT). MCTs are widely used for parenteral nutrition in individuals requiring supplemental nutrition and are being more widely used in foods, drugs and cosmetics; they are essentially non-toxic. This molecule is safe for human dietary consumption up to levels of 1g/kg. (A3658).",CHEMBL14184
CCOC(=O)CCC(=O)OCC,-5.71,"This molecule is a fatty acid ester. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Opuntia ficus-indica, Couroupita guianensis, and other organisms with data available.",CHEMBL369243
Cc1ccnc(c1)C,-4.86,,
C1CCC=CC1,0.14,,
CN1CCN(CC1)C,-7.58,,
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,,
C1=CC(=O)C=CC1=O,-6.5,,
COC(=O)CCl,-4.0,,
CCCC=O,-3.18,"This molecule appears as a clear liquid with a pungent odor. Flash point 20 °F. Boiling point 75.7 °F (Hawley's). Less dense than water and insoluble in water. Vapors heavier than air. This molecule is a member of the class of butanals that consists of propane bearing a formyl substituent at the 1-position. The parent of the class of butanals. It has a role as a biomarker, an Escherichia coli metabolite and a mouse metabolite. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a natural product found in Gossypium hirsutum, Ligusticum striatum, and other organisms with data available.",CHEMBL1478334
CCc1ccccc1,-0.79,"This molecule is a colorless, flammable liquid that smells like gasoline. It is found in natural products such as coal tar and petroleum and is also found in manufactured products such as inks, insecticides, and paints. This molecule is used primarily to make another chemical, styrene. Other uses include as a solvent, in fuels, and to make other chemicals. This molecule appears as a clear colorless liquid with an aromatic odor. Flash point 59 °F. Less dense than water (at 7.2 lb / gal) and insoluble in water. Hence floats on water. Vapors heavier than air. Used as a solvent and to make other chemicals. This molecule is an alkylbenzene carrying an ethyl substituent. It is a constituent of coal tar and petroleum. This molecule is mainly used in the manufacture of styrene. Acute (short-term) exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness. Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood. Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. Limited information is available on the carcinogenic effects of ethylbenzene in humans. In a study by the National Toxicology Program (NTP), exposure to ethylbenzene by inhalation resulted in an increased incidence of kidney and testicular tumors in rats, and lung and liver tumors in mice. EPA has classified ethylbenzene as a Group D, not classifiable as to human carcinogenicity. This molecule is an aromatic hydrocarbon composed of a benzene ring linked to an ethyl group. This molecule is a constituent of petroleum and coal tar and is used as either a petroleum additive or a chemical intermediate in the production of polystyrene. High level exposure to airborne ethylbenzene is associated with eye and throat irritation. This molecule is a natural product found in Basella alba, Oecophylla smaragdina, and other organisms with data available. This molecule is an organic compound with the formula C6H5CH2CH3. This aromatic hydrocarbon is important in the petrochemical industry as an intermediate in the production of styrene, which in turn is used for making polystyrene, a commonly used plastic material. Although often present in small amounts in crude oil, ethylbenzene is produced in bulk quantities by combining benzene and ethylene in an acid-catalyzed chemical reaction. It is one ingredient of cigarette. The acute toxicity of ethylbenzene is low, with an LD50 of about 4 grams per kilogram of body weight. The longer term toxicity and carcinogenicity is ambiguous. Eye and throat sensitivity can occur when high level exposure to ethylbenzene in the air occurs. At higher level exposure, ethylbenzene can cause dizziness.",CHEMBL371561
C(=C(Cl)Cl)Cl,-0.44,,
CCN(CC)CC,-3.22,"This molecule appears as a clear colorless liquid with a strong ammonia to fish-like odor. Flash point 20 °F. Vapors irritate the eyes and mucous membranes. Less dense (6.1 lb / gal) than water. Vapors heavier than air. Produces toxic oxides of nitrogen when burned. This molecule is a tertiary amine that is ammonia in which each hydrogen atom is substituted by an ethyl group. Acute (short-term) exposure of humans to triethylamine vapor causes eye irritation, corneal swelling, and halo vision. People have complained of seeing ""blue haze"" or having ""smoky vision."" These effects have been reversible upon cessation of exposure. Acute exposure can irritate the skin and mucous membranes in humans. Chronic (long-term) exposure of workers to triethylamine vapor has been observed to cause reversible corneal edema. Chronic inhalation exposure has resulted in respiratory and hematological effects and eye lesions in rats and rabbits. No information is available on the reproductive, developmental, or carcinogenic effects of triethylamine in humans. EPA has not classified triethylamine with respect to potential carcinogenicity.",CHEMBL284057
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,,
Cc1ccncc1C,-5.22,,
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,,
c1ccc(cc1)C=O,-4.02,,
c1ccnc(c1)Cl,-4.39,,
C=CCCl,-0.57,"This molecule appears as a clear colorless liquid with an unpleasant pungent odor. Flash point -20 °F. Boiling point 113 °F. Less dense than water (7.8 lb / gal) and insoluble in water. Hence floats on water. Vapor irritates skin, eyes and mucous membranes. Vapors are heavier than air. Long exposure to low concentrations or short exposure to high concentrations may have adverse health effects from inhalation or skin absorption. This molecule is an organochlorine compound. This molecule occurs for workers in manufacturing plants. The acute (short-term) effects of allyl chloride from inhalation exposure in humans consists of irritation of the eyes and respiratory passages. Chronic (long-term) exposure to allyl chloride in humans causes injury to the liver and kidneys and the onset of pulmonary edema (fluid in the lungs). There are no human cancer data available for allyl chloride. Limited animal studies indicate that exposure to allyl chloride by gavage (placing the chemical experimentally in the stomachs of mice) caused an increase in the incidence of forestomach tumors. EPA has classified allyl chloride as a Group C, a possible human carcinogen.",CHEMBL451126
Cc1ccc(cc1)C(=O)C,-4.7,,
C=O,-2.75,"This molecule is a colorless, flammable gas that has a distinct, pungent smell. It is also known as methanal, methylene oxide, oxymethyline, methylaldehyde, and oxomethane. Formaldehyde is naturally produced in small amounts in our bodies. It is used in the production of fertilizer, paper, plywood, and urea-formaldehyde resins. It is also used as a preservative in some foods and in many products used around the house, such as antiseptics, medicines, and cosmetics. Solids containing varying amounts of formaldehyde, probably as paraformaldehyde (polymers of formula HO(CH2O)xH where x averages about 30). A hazard to the environment. Immediate steps should be taken to limit spread to the environment. This molecule appears as a colorless aqueous solution of formaldehyde, which is a gas at ordinary conditions. Has a pungent irritating odor. Flash point varies from 122 to 141 °F. Denser than water. The vapors are heavier than air and are highly irritating to the nose. Toxic if swallowed. Contact can cause severe injury to the skin accompanied by drying, cracking, and scaling. Used to make plastics, other chemicals, and fertilizers. Used as a preservative and a corrosion inhibitor.   Rate of onset: Immediate  Persistence: Hours  Odor threshold: 1 ppm  Source/use/other hazard: Disinfection/germicide; fungicide; textile; health care (tissue fixing). This molecule appears as a colorless liquid with a pungent irritating odor. Contains 37-50% formaldehyde by mass and varying amounts of methanol, added to prevent precipitation of formaldehyde polymers (formaldehyde exists in solution as CH2(OH)2 and its polymers HO(CH2O)xH where x averages about three). Formalin free of methanol is also shipped but must be kept warm (about 30 °C (86 °F)) to prevent polymerization. Pure formaldehyde, a gas, is not handled commercially because it tends to polymerize exothermally and may ignite. Vapor from formalin solution is flammable and an explosion hazard when exposed to flame or heat. Skin and eye irritant. Confirmed carcinogen. This molecule is an aldehyde resulting from the formal oxidation of methanol. It has a role as a carcinogenic agent, an allergen, an EC 3.5.1.4 (amidase) inhibitor, a disinfectant, an environmental contaminant, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a one-carbon compound and an aldehyde. A highly reactive aldehyde gas formed by oxidation or incomplete combustion of hydrocarbons. In solution, it has a wide range of uses: in the manufacture of resins and textiles, as a disinfectant, and as a laboratory fixative or preservative. Formaldehyde solution (formalin) is considered a hazardous compound, and its vapor toxic. (From Reynolds, Martindale The Extra Pharmacopoeia, 30th ed, p717) This molecule is used mainly to produce resins used in particleboard products and as an intermediate in the synthesis of other chemicals. Exposure to formaldehyde may occur by breathing contaminated indoor air, tobacco smoke, or ambient urban air. Acute (short-term) and chronic (long-term) inhalation exposure to formaldehyde in humans can result in respiratory symptoms, and eye, nose, and throat irritation. Limited human studies have reported an association between formaldehyde exposure and lung and nasopharyngeal cancer. Animal inhalation studies have reported an increased incidence of nasal squamous cell cancer. EPA considers formaldehyde a probable human carcinogen (Group B1). This molecule is a Standardized Chemical Allergen. The physiologic effect of formaldehyde is by means of Increased Histamine Release, and Cell-mediated Immunity. This molecule is a colorless poisonous gas synthesized by the oxidation of methanol and used as an antiseptic, disinfectant, histologic fixative, and general-purpose chemical reagent for laboratory applications. This molecule is readily soluble in water and is commonly distributed as a 37% solution in water; formalin, a 10% solution of formaldehyde in water, is used as a disinfectant and to preserve biological specimens. Environmentally, formaldehyde may be found in the atmosphere, smoke from fires, automobile exhaust and cigarette smoke. Small amounts are produced during normal metabolic processes in most organisms, including humans. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Avena sativa, Homo sapiens, and other organisms with data available. This molecule is a highly reactive aldehyde gas formed by oxidation or incomplete combustion of hydrocarbons. In solution, it has a wide range of uses: in the manufacture of resins and textiles, as a disinfectant, and as a laboratory fixative or preservative. This molecule solution (formalin) is considered a hazardous compound, and its vapor toxic. (From Reynolds, Martindale The Extra Pharmacopoeia, 30th ed, p717) -- Pubchem; The chemical compound formaldehyde (also known as methanal), is a gas with a pungent smell. It is the simplest aldehyde. Its chemical formula is H2CO. This molecule was first synthesized by the Russian chemist Aleksandr Butlerov in 1859 but was conclusively identified by August Wilhelm van Hofmann in 1867. Although formaldehyde is a gas at room temperature, it is readily soluble in water, and it is most commonly sold as a 37% solution in water called by trade names such as formalin or formol. In water, formaldehyde polymerizes, and formalin actually contains very little formaldehyde in the form of H2CO monomer. Usually, these solutions contain a few percent methanol to limit the extent of polymerization. This molecule exhibits most of the general chemical properties of the aldehydes, except that is generally more reactive than other aldehydes. This molecule is a potent electrophile. It can participate in electrophilic aromatic substitution reactions with aromatic compounds and can undergo electrophilic addition reactions with alkenes. In the presence of basic catalysts, formaldehyde undergoes a Cannizaro reaction to produce formic acid and methanol. Because formaldehyde resins are used in many construction materials, including plywood, carpet, and spray-on insulating foams, and because these resins slowly give off formaldehyde over time, formaldehyde is one of the more common indoor air pollutants. At concentrations above 0.1 mg/kg in air, inhaled formaldehyde can irritate the eyes and mucous membranes, resulting in watery eyes, headache, a burning sensation in the throat, and difficulty breathing. -- Wikipedia.",CHEMBL1255
Cc1ccccc1Cl,-1.14,"This molecule is a colorless liquid with an aromatic odor. Denser than water and poorly soluble in water. Hence sinks in water. (USCG, 1999)",CHEMBL1797265
CC(=O)N1CCCC1,-9.8,This molecule is a N-acylpyrrolidine.,CHEMBL11982
CC(OC)(OC)OC,-4.42,,
CCCCc1ccccc1,-0.4,This molecule appears as a colorless liquid. Less dense than water and insoluble in water. Used to make plastics and as a solvent. This molecule is an alkylbenzene that is benzene substituted by a butyl group at position 1. This molecule is a natural product found in Solanum lycopersicum and Carica papaya with data available. This molecule belongs to the family of Substituted Benzenes. These are aromatic compounds containing a benzene substituted at one or more positions.,CHEMBL195441
CN(C)c1ccccc1,-3.45,"This molecule appears as a yellow to brown colored oily liquid with a fishlike odor. Less dense than water and insoluble in water. Flash point 150 °F. Toxic by ingestion, inhalation, and skin absorption. Used to make dyes and as a solvent. These molecules is a tertiary amine that is aniline in which the amino hydrogens are replaced by two methyl groups. It is a tertiary amine and a dimethylaniline. This molecule is used as an intermediate in the manufacture of dyes and other substances. Acute (short-term) inhalation exposure to N,N-dimethylaniline has resulted in effects on the central nervous system (CNS) and circulatory system, with headache, cyanosis, and dizziness in humans. Effects on the blood have been reported in exposed workers. Chronic (long-term) inhalation exposure of animals resulted in effects on the CNS, blood, and liver. No information is available on the reproductive, developmental, or carcinogenic effects of N,N-dimethylaniline in humans. In a National Toxicology Program (NTP) study of rats and mice exposed via gavage, increased incidences of tumors of the spleen and forestomach were observed. EPA has not classified N,N-dimethylaniline for potential carcinogenicity.",CHEMBL371654
CC(C)OC,-2.01,,
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,,
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,,
C(C(Cl)Cl)Cl,-1.99,,
CNc1ccccc1,-4.69,"This molecule appears as a colorless to brown viscous liquid. Insoluble in water and denser than water. Contact may irritate skin, eyes and mucous membranes. May be toxic by ingestion. Used to make other chemicals. This molecule is a methylaniline that is aniline carrying a methyl substituent at the nitrogen atom. It is a phenylalkylamine, a secondary amine and a methylaniline. It is functionally related to an aniline. This molecule is a natural product found in Camellia sinensis and Lupinus albus with data available.",CHEMBL170781
CC(C)OC(=O)C,-2.64,,
c1ccccc1,-0.9,"This molecule is a colorless liquid with a sweet odor. It evaporates into the air very quickly and dissolves slightly in water. It is highly flammable and is formed from both natural processes and human activities. This molecule is widely used in the United States; it ranks in the top 20 chemicals for production volume. Some industries use benzene to make other chemicals which are used to make plastics, resins, and nylon and synthetic fibers. This molecule is also used to make some types of rubbers, lubricants, dyes, detergents, drugs, and pesticides. Natural sources of benzene include volcanoes and forest fires. This molecule is also a natural part of crude oil, gasoline, and cigarette smoke. This molecule appears as a clear colorless liquid with a petroleum-like odor. Flash point less than 0 °F. Less dense than water and slightly soluble in water. Hence floats on water. Vapors are heavier than air. This molecule is a six-carbon aromatic annulene in which each carbon atom donates one of its two 2p electrons into a delocalised pi system. A toxic, flammable liquid byproduct of coal distillation, it is used as an industrial solvent. This molecule is a carcinogen that also damages bone marrow and the central nervous system. It has a role as a non-polar solvent, a carcinogenic agent and an environmental contaminant. It is an aromatic annulene, a volatile organic compound and a member of benzenes. This molecule is found in the air from emissions from burning coal and oil, gasoline service stations, and motor vehicle exhaust. Acute (short-term) inhalation exposure of humans to benzene may cause drowsiness, dizziness, headaches, as well as eye, skin, and respiratory tract irritation, and, at high levels, unconsciousness. Chronic (long-term) inhalation exposure has caused various disorders in the blood, including reduced numbers of red blood cells and aplastic anemia, in occupational settings. Reproductive effects have been reported for women exposed by inhalation to high levels, and adverse effects on the developing fetus have been observed in animal tests. Increased incidence of leukemia (cancer of the tissues that form white blood cells) have been observed in humans occupationally exposed to benzene. EPA has classified benzene as known human carcinogen for all routes of exposure. This molecule is a clear, colorless, highly flammable and volatile, liquid aromatic hydrocarbon with a gasoline-like odor. This molecule is found in crude oils and as a by-product of oil-refining processes. In industry benzene is used as a solvent, as a chemical intermediate, and is used in the synthesis of numerous chemicals. Exposure to this substance causes neurological symptoms and affects the bone marrow causing aplastic anemia, excessive bleeding and damage to the immune system. This molecule is a known human carcinogen and is linked to an increased risk of developing lymphatic and hematopoietic cancers, acute myelogenous leukemia, as well as chronic lymphocytic leukemia. (NCI05) This molecule is a natural product found in Swertia japonica, Basella alba, and other organisms with data available. This molecule is a toxic, volatile, flammable liquid hydrocarbon biproduct of coal distillation. Chronic benzene exposure produces hematotoxicity, bone marrow dysplasia (Displasia is a pre-neoplastic or pre-cancerous change). (A7669). It is used as an industrial solvent in paints, varnishes, lacquer thinners, gasoline, etc. This molecule causes central nervous system damage acutely and is carcinogenic. It was formerly used as parasiticide.",CHEMBL277500
c1cc(c(c(c1)Cl)Cl)Cl,-1.24,,
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,,
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,,
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,,
CC(=C)C(=C)C,0.4,,
CCCCC=C,1.58,,
S,-0.7,"This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule occurs naturally in crude petroleum, natural gas, volcanic gases, and hot springs. It can also result from bacterial breakdown of organic matter. It is also produced by human and animal wastes. Bacteria found in your mouth and gastrointestinal tract produce hydrogen sulfide from bacteria decomposing materials that contain vegetable or animal proteins. Hydrogen sulfide can also result from industrial activities, such as food processing, coke ovens, kraft paper mills, tanneries, and petroleum refineries. Hydrogen sulfide is a flammable, colorless gas with a characteristic odor of rotten eggs. It is commonly known as hydrosulfuric acid, sewer gas, and stink damp. People can smell it at low levels. This molecule appears as a colorless gas having a strong odor of rotten eggs. Boiling point -60.2 °C. Shipped as a liquid confined under its own vapor pressure. Density (liquid) 8.3 lb / gal. Contact with the unconfined liquid can cause frostbite by evaporative cooling. Gas is very toxic by inhalation. Fatigues the sense of smell which cannot be counted on to warn of the continued presence of the gas. Prolonged exposure of closed containers to heat may result in their violent rupturing and rocketing.   Rate of onset: Immediate & Delayed  Persistence: Minutes to hours  Odor threshold: 0.1 ppm  Source/use/other hazard: Disinfectant lubricant/oils; interm for HC manufacture; deadens sense of smell. This molecule is a nonmetal atom and a chalcogen. It has a role as a macronutrient. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a highly flammable conjugate acid of a cyanide that occurs naturally in crude petroleum, natural gas, and hot springs, and can be produced by bacterial breakdown of organic material and waste. It is used as a chemical weapon agent and is characterized as a colorless gas with a strong rotten egg odor that causes irritation of the eyes and respiratory tract, as well as toxic systemic effects. This molecule is a natural product found in Artemia salina, Arabidopsis thaliana, and other organisms with data available. This molecule is a highly toxic and flammable gas. Because it is heavier than air it tends to accumulate at the bottom of poorly ventilated spaces. Although very pungent at first, it quickly deadens the sense of smell, so potential victims may be unaware of its presence until it is too late. H2S arises from virtually anywhere where elemental sulfur comes into contact with organic material, especially at high temperatures. This molecule is a covalent hydride chemically related to water (H2O) since oxygen and sulfur occur in the same periodic table group. It often results when bacteria break down organic matter in the absence of oxygen, such as in swamps, and sewers (alongside the process of anaerobic digestion). It also occurs in volcanic gases, natural gas and some well waters. It is also important to note that This molecule is a central participant in the sulfur cycle, the biogeochemical cycle of sulfur on Earth. As mentioned above, sulfur-reducing and sulfate-reducing bacteria derive energy from oxidizing hydrogen or organic molecules in the absence of oxygen by reducing sulfur or sulfate to hydrogen sulfide. Other bacteria liberate hydrogen sulfide from sulfur-containing amino acids. Several groups of bacteria can use hydrogen sulfide as fuel, oxidizing it to elemental sulfur or to sulfate by using oxygen or nitrate as oxidant. The purple sulfur bacteria and the green sulfur bacteria use hydrogen sulfide as electron donor in photosynthesis, thereby producing elemental sulfur. (In fact, this mode of photosynthesis is older than the mode of cyanobacteria, algae and plants which uses water as electron donor and liberates oxygen).",CHEMBL1200739
CCOCC,-1.59,"This molecule appears as a clear colorless liquid with an anesthetic odor. Flash point -49 °F. Less dense than water and slightly soluble in water. Hence floats on water. Vapors are heavier than air. Used as a solvent and to make other chemicals. This molecule is an ether in which the oxygen atom is linked to two ethyl groups. It has a role as an inhalation anaesthetic, a non-polar solvent and a refrigerant. It is a volatile organic compound and an ether. These molecules is an organic compound in which two carbon atoms are linked through an oxygen atom (C-O-C).  An ether may be a product of the condensation of alcohols.  These molecules also refers loosely to diethyl-ether, a colorless, volatile, highly inflammable liquid used in industry and biomedical research, and historically important as an anesthetic agent.  In vivo, ether acts similarly to alcohol and chloroform, but its stimulant action on the heart is much more marked.  These molecules is a rapidly diffusible stimulant. (NCI04) This molecule is a natural product found in Basella alba and Acca sellowiana with data available. This molecule is a clear, colorless, and highly flammable liquid with a low boiling point and a characteristic odor. It is the most common member of a class of chemical compounds known generically as ethers. Diethyl ether is used as a common solvent and has been used as a general anesthetic. It can also be found in recreational drug use. (L1660)",CHEMBL16264
CCNc1nc(nc(n1)SC)NC(C)C,-7.65,,
CCCCOC(=O)c1ccc(cc1)O,-8.72,,
CCCCCCOC(=O)C,-2.26,,
C1CCC(=O)C1,-4.7,,
CCCCC(=O)O,-6.16,"This molecule appears as a colorless liquid with a penetrating unpleasant odor. Density 0.94 g / cm3. Freezing point -93.2 °F (-34 °C). Boiling point 365.7 °F (185.4 °C). Flash point 192 °F (88.9 °C). Corrosive to metals and tissue. This molecule is a straight-chain saturated fatty acid containing five carbon atoms. It has a role as a plant metabolite. It is a short-chain fatty acid and a straight-chain saturated fatty acid. It is a conjugate acid of a valerate. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Humulus lupulus, Penicillium herquei, and other organisms with data available.",CHEMBL268736
CCBr,-0.74,"This molecule appears as a colorless volatile liquid. Slightly soluble in water and denser than water. Flash point below 0 °F. Vapors are heavier than air. Toxic by inhalation. Irritates skin and eyes. Used to make pharmaceuticals and as a solvent. This molecule is a bromoalkane that is ethane carrying a bromo substituent. It is an alkylating agent used as a chemical intermediate in various organic syntheses. It has a role as a carcinogenic agent, a solvent, a refrigerant, a local anaesthetic and an alkylating agent. It is a bromoalkane, a bromohydrocarbon and a volatile organic compound. This molecule is an alkylating agent used primarily as a chemical intermediate in various organic syntheses. It is an organobromide (L1986).",CHEMBL156378
Cc1ccc2cc(ccc2c1)C,-2.63,,
CCCCCCO,-4.4,"This molecule appears as a clear colorless liquid mixture of isomeric six-carbon alcohols with similar chemical properties. Vapors are heavier than air. Used to make pharmaceuticals and as a solvent. This molecule appears as a clear colorless liquid. Flash point 149 °F. Less dense than water and insoluble in water. Vapors heavier than air. This molecule is a primary alcohol that is hexane substituted by a hydroxy group at position 1. It has a role as a plant metabolite, an antibacterial agent, a fragrance and an alarm pheromone. It is a primary alcohol and a hexanol. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Magnolia officinalis, Pternistria bispina, and other organisms with data available. This molecule is an organic alcohol with a six carbon chain and a condensed structural formula of CH3(CH2)5OH. This colorless liquid is slightly soluble in water, but miscible with ether and ethanol. Two additional straight chain isomers of 1-hexanol exist, 2-hexanol and 3-hexanol, both of which differ by the location of the hydroxyl group. Many isomeric alcohols have the formula C6H13OH. 1-hexanol is believed to be a component of the odour of freshly mown grass. It is used in the perfume industry.",CHEMBL14085
c1ccc(cc1)c2ccccc2Cl,-2.69,,
CC1=CCCCC1,0.67,,
CCCCCCO[N+](=O)[O-],-1.66,,
C(Br)(Br)Br,-2.13,,
CCc1ccc(cc1)O,-6.13,,
CCCOCCO,-6.4,"Liquid; colorless; mild, rancid odor; floats and mixes with water. (USCG, 1999)",CHEMBL3189002
c1ccc(cc1)OC=O,-3.82,,
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,,
CCCC(=O)O,-6.35,"This molecule appears as a colorless liquid with a penetrating and unpleasant odor. Flash point 170 °F. Corrosive to metals and tissue. Density 8.0 lb /gal. This molecule is a straight-chain saturated fatty acid that is butane in which one of the terminal methyl groups has been oxidised to a carboxy group. It has a role as a Mycoplasma genitalium metabolite and a human urinary metabolite. It is a straight-chain saturated fatty acid and a fatty acid 4:0. It is a conjugate acid of a butyrate. This molecule occurs in butter and animal fat as the glycerol ester. This molecule is a saturated short-chain fatty acid with a 4-carbon backbone. Butyric acid is commonly found in esterified form in animal fats and plant oils. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Camellia sinensis, Paeonia emodi, and other organisms with data available. This molecule is formed in the human colon by bacterial fermentation of carbohydrates (including dietary fiber), and putatively suppresses colorectal cancer (CRC). Butyrate has diverse and apparently paradoxical effects on cellular proliferation, apoptosis and differentiation that may be either pro-neoplastic or anti-neoplastic, depending upon factors such as the level of exposure, availability of other metabolic substrate and the intracellular milieu. In humans, the relationship between luminal butyrate exposure and CRC has been examined only indirectly in case-control studies, by measuring fecal butyrate concentrations, although this may not accurately reflect effective butyrate exposure during carcinogenesis. Perhaps not surprisingly, results of these investigations have been mutually contradictory. The direct effect of butyrate on tumorigenesis has been assessed in a no. of in vivo animal models, which have also yielded conflicting results. In part, this may be explained by methodology: differences in the amount and route of butyrate administration, which are likely to significantly influence delivery of butyrate to the distal colon. (A3624) Butyric acid is a carboxylic acid found in rancid butter, parmesan cheese, and vomit, and has an unpleasant odor and acrid taste, with a sweetish aftertaste (similar to ether). Butyric acid is a fatty acid occurring in the form of esters in animal fats and plant oils. Interestingly, low-molecular-weight esters of butyric acid, such as methyl butyrate, have mostly pleasant aromas or tastes. As a consequence, they find use as food and perfume additives. Butyrate is produced as end-product of a fermentation process solely performed by obligate anaerobic bacteria.",CHEMBL14227
COC(C(F)(F)F)(OC)OC,-0.8,,
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,,
C(F)(F)(F)Br,1.79,,
CCCCO,-4.72,"This molecule is a colorless liquid. Used in organic chemical synthesis, plasticizers, detergents, etc. This molecule is a primary alcohol that is butane in which a hydrogen of one of the methyl groups is substituted by a hydroxy group. It it produced in small amounts in humans by the gut microbes. It has a role as a protic solvent, a human metabolite and a mouse metabolite. It is a primary alcohol, a short-chain primary fatty alcohol and an alkyl alcohol. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Zea mays, Zingiber mioga, and other organisms with data available.",CHEMBL14245
c1ccc(cc1)F,-0.8,,
CCOC(=O)C,-2.94,,
