smiles,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,description,chembl_id
ClC(Cl)(Cl)Cl,Tetrachloromethane,-2.607,1,153.823,0,0,0,0.0,-2.31,"This molecule is a manufactured chemical that does not occur naturally. It is a clear liquid with a sweet smell that can be detected at low levels. It is also called carbon chloride, methane tetrachloride, perchloromethane, tetrachloroethane, or benziform. This molecule is most often found in the air as a colorless gas. It is not flammable and does not dissolve in water very easily. It was used in the production of refrigeration fluid and propellants for aerosol cans, as a pesticide, as a cleaning fluid and degreasing agent, in fire extinguishers, and in spot removers. Because of its harmful effects, these uses are now banned and it is only used in some industrial applications. This molecule appears as a clear colorless liquid with a characteristic odor. Denser than water (13.2 lb / gal) and insoluble in water. Noncombustible. May cause illness by inhalation, skin absorption and/or ingestion. Used as a solvent, in the manufacture of other chemicals, as an agricultural fumigant, and for many other uses. This molecule is a chlorocarbon that is methane in which all the hydrogens have been replaced by chloro groups. It has a role as a refrigerant and a hepatotoxic agent. It is a chlorocarbon and a member of chloromethanes. Carbon tetrachloride may be found in both ambient outdoor and indoor air. The primary effects of carbon tetrachloride in humans are on the liver, kidneys, and central nervous system (CNS). Human symptoms of acute (short-term) inhalation and oral exposures to carbon tetrachloride include headache, weakness, lethargy, nausea, and vomiting. Acute exposures to higher levels and chronic (long-term) inhalation or oral exposure to carbon tetrachloride produces liver and kidney damage in humans. Human data on the carcinogenic effects of carbon tetrachloride are limited. Studies in animals have shown that ingestion of carbon tetrachloride increases the risk of liver cancer. EPA has classified carbon tetrachloride as a Group B2, probable human carcinogen. This molecule is a clear, colorless, volatile and very stable chlorinated hydrocarbon. This molecule is used as a solvent for oils and fats, as a refrigerant and as a dry-cleaning agent. Inhalation of its vapors can depress central nervous system activity and cause degeneration of the liver and kidneys. This molecule is reasonably anticipated to be a human carcinogen based on evidence of carcinogenicity in experimental animals. (NCI05) This molecule is a natural product found in Helianthus tuberosus with data available. This molecule belongs to the family of Chlorocarbons. These are Any Compound consisting wholly of chlorine and carbon. (Reference: [1] IUPAC. Compendium of Chemical Terminology, 2nd ed. (the Gold Book). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997). XML on-line corrected version: http://goldbook.iupac.org (2006-) created by M. Nic, J. Jirat, B. Kosata; updates compiled by A. Jenkins. ISBN 0-9678550-9-8. doi:10.1351/goldbook. (Or PAC, 1995, 67, 1307 (Glossary of class names of organic compounds and reactivity intermediates based on structure (IUPAC Recommendations 1995)) on page 1328)).",CHEMBL44814
O=N(=O)c1cc(Cl)c(Cl)cc1,"3,4-Dichloronitrobenzene",-3.448,1,192.001,0,1,1,43.14,-3.2,,
OC1CCCCCCC1,Cyclooctanol,-2.14,1,128.215,1,1,0,20.23,-1.29,,CHEMBL457729
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,17a-Methyltestosterone,-4.073,1,302.4580000000001,1,4,0,37.3,-3.999,,
CCOc1ccc(NC(N)=O)cc1,Dulcin,-2.167,1,180.207,2,1,3,64.35,-2.17,"This molecule appears as white crystals. (NTP, 1992) This molecule is a member of ureas.",CHEMBL1330343
C/C1CCC(\C)CC1,"trans-1,4-Dimethylcyclohexane",-3.305,1,112.216,0,1,0,0.0,-4.47,,
c1cnc2c(c1)ccc3ncccc23,"1,7-phenantroline",-2.994,2,180.21,0,3,0,25.78,-2.68,,
COC(C)(C)C,Methyl t-butyl ether ,-0.984,1,88.14999999999999,0,0,0,9.23,-0.24,"This molecule is a flammable liquid with a distinctive, disagreeable odor. It is made from blending chemicals such as isobutylene and methanol, and has been used since the 1980s as an additive for unleaded gasolines to achieve more efficient burning.MTBE is also used to dissolve gallstones. Patients treated in this way have MTBE delivered directly to their gall bladders through special tubes that are surgically inserted. This molecule appears as a colorless liquid with a distinctive anesthetic-like odor. Vapors are heavier than air and narcotic. Boiling point 131 °F. Flash point 18 °F. Less dense than water and miscible in water. Used as a octane booster in gasoline. This molecule is an ether having methyl and tert-butyl as the two alkyl components. It has a role as a non-polar solvent, a fuel additive and a metabolite. This molecule is used as a gasoline additive. Exposure may occur by breathing air contaminated with auto exhaust or gasoline fumes while refueling autos. Respiratory irritation, dizziness, and disorientation have been reported by some motorists and occupationally exposed workers. Acute (short- term) exposure of humans to methyl tert-butyl ether also has occurred during its use as a medical treatment to dissolve cholesterol gallstones. Chronic (long-term) inhalation exposure to methyl tert-butyl ether has resulted in central nervous system (CNS) effects, respiratory irritation, liver and kidney effects, and decreased body weight gain in animals. Developmental effects have been reported in rats and mice exposed via inhalation. EPA has not classified methyltert-butyl ether with respect to potential carcinogenicity.",CHEMBL1452799
COc1ccc(C=CC)cc1,Anethole,-3.254,1,148.20499999999998,0,1,2,9.23,-3.13,,
CCCCCCCCCCCCCCCCO,1-Hexadecanol,-4.94,1,242.44699999999992,1,0,14,20.23,-7.0,"This molecule is a long-chain primary fatty alcohol that is hexadecane substituted by a hydroxy group at position 1. It has a role as a human metabolite, an algal metabolite, a plant metabolite and a flavouring agent. It is a long-chain primary fatty alcohol and a hexadecanol. This molecule is a 16-C fatty alcohol with the chemical formula CH3(CH2)15OH. It can be produced from the reduction of palmitic acid. Cetyl alcohol is present in a waxy white powder or flake form at room temperature, and is insoluble in water and soluble in alcohols and oils. Discovered by Chevrenl in 1913, cetyl alcohol is one of the oldest known long-chain alcohol. It may be contained in cosmetic and personal care products such as shampoos, creams and lotions. Mainly it is used as an opacifier, emulsifier, and thickening agent that alter the thickness of the liquid, and increase and stabilize the foaming capacity. Due to its water-binding property, cetyl alcohol is commonly used as an emollient that prevents drying and chapping of the skin. According to the FDA Code of Federal Regulations, cetyl alcohol is a safe synthetic fatty acid in food and in the synthesis of food components under the condition that it contain not less than 98 percent of total alcohols and not less than 94 percent of straight chain alcohols. Cetyl alcohol is also listed in the OTC ingredient list as a skin protectant for skin irritations caused by poison ivy, oak, sumac, and insect bites or stings. Cetyl alcohol is reported to be a mild skin or eye irritant. This molecule is a synthetic, solid, fatty alcohol and nonionic surfactant. Cetyl alcohol is used as an emulsifying agent in pharmaceutical preparations. This molecule is a natural product found in Camellia sinensis, Angelica gigas, and other organisms with data available. This molecule is a solid organic compound and a member of the alcohol class of compounds. Its chemical formula is CH3(CH2)15OH. At room temperature, cetyl alcohol takes the form of a waxy white solid or flakes. It belongs to the group of fatty alcohols. With the demise of commercial whaling, cetyl alcohol is no longer primarily produced from whale oil, but instead either as an end-product of the petroleum industry, or produced from vegetable oils such as palm oil and coconut oil. Production of cetyl alcohol from palm oil gives rise to one of its alternative names, palmityl alcohol.",CHEMBL706
O=c1cc[nH]c(=O)[nH]1 ,uracil,-0.441,1,112.088,2,1,0,65.72,-1.4880000000000002,,
Nc1ncnc2nc[nH]c12 ,adenine,-1.255,1,135.13,2,2,0,80.47999999999999,-2.12,,
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,"2,2',3,4,5-PCB",-6.709,1,326.437,0,2,1,0.0,-7.21,,
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,Ancymidol,-2.181,1,256.30499999999995,1,3,4,55.24,-2.596,,
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,Benzo(b)fluoranthene,-6.007000000000001,2,252.316,0,5,0,0.0,-8.23,,
O=C(Nc1ccccc1)Nc2ccccc2,Carbanilide,-3.611,1,212.252,2,2,2,41.13,-3.15,,
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,phenobarbital,-2.272,1,232.239,2,2,2,75.27000000000001,-2.322,,
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,"2',3,4-PCB",-5.686,1,257.547,0,2,1,0.0,-6.29,,
CC(C)c1ccc(NC(=O)N(C)C)cc1,Isoproturon,-2.867,1,206.289,1,1,2,32.34,-3.536,"This molecule is a member of the class of phenylureas that is 1,1-dimethylurea substituted by a p-cumenyl group at position 3. A selective, systemic herbicide used to control annual grasses and broadleaf weeds in cereals, its use within the EU has been banned after September 2017 on the grounds of potential groundwater contamination and risks to aquatic life; there have also been concerns about its endocrine-disrupting properties. It has a role as an environmental contaminant, a xenobiotic, a herbicide and an agrochemical.",CHEMBL2251591
CCN(CC)C(=O)CSc1ccc(Cl)nn1,Azintamide,-2.231,1,259.762,0,1,5,46.09,-1.716,This molecule is an aryl sulfide.,CHEMBL2104678
CCC(C)(C)CO,"2,2-Dimethyl-1-butanol",-1.365,1,102.17699999999998,1,0,2,20.23,-1.04,,
CCCOC(=O)CCC,Ethyl pentanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.75,,
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,"2,4,6-Trinitrotoluene",-2.6060000000000003,1,227.132,0,1,3,129.42000000000002,-3.22,,
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,Bensulide,-4.99,1,397.52400000000006,1,1,10,64.63,-4.2,This molecule is a member of benzenes. This molecule is an organophosphate acetylcholinesterase inhibitor used as an herbicide. It functions by inhibiting cell division in meristematic root tissues and seedling growth by conjugation of acetyl co-enzyme.,CHEMBL1895252
C1CCCCCC1,Cycloheptane,-2.9160000000000004,2,98.189,0,1,0,0.0,-3.51,This molecule appears as a colorless oily liquid. Insoluble in water and less dense than water. Flash point 60 °F. Vapors heavier than air. Inhalation of high concentrations may have a narcotic effect. Used to make other chemicals. This molecule is a natural product found in Perilla frutescens with data available.,CHEMBL453194
CCCOC=O,Propyl formate,-0.757,1,88.10599999999998,0,0,3,26.3,-0.49,This molecule appears as a clear colorless liquid with a pleasant odor. Slightly soluble in water and less dense than water. Hence floats on water. Vapors are heavier than air. This molecule is a carboxylic ester. This molecule is a natural product found in Aloe africana with data available.,CHEMBL2270393
CC(C)c1ccccc1C,2-Isopropyltoluene,-3.585,1,134.22199999999995,0,1,1,0.0,-3.76,,
Nc1cccc(Cl)c1,m-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.37,"This molecule is a colorless to light amber liquid with a sweet odor. (NTP, 1992) This molecule is a substituted aniline.",CHEMBL325415
CC(C)CC(C)C,"2,4-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.26,,
o1c2ccccc2c3ccccc13,Dibenzofurane,-4.2010000000000005,2,168.195,0,3,0,13.14,-4.6,,
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,ethofumesate,-3.184,1,286.34900000000005,0,2,4,61.830000000000005,-3.42,,
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,Fluometuron,-3.065,1,232.205,1,1,1,32.34,-3.43,,
c3ccc2nc1ccccc1cc2c3,Acridine,-3.846,2,179.22199999999998,0,3,0,12.89,-3.67,,
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,Cortisone,-2.893,1,360.45000000000016,2,4,2,91.67,-3.11,,
OCC1OC(O)C(O)C(O)C1O,glucose,0.501,1,180.156,5,1,1,110.38,0.74,,
Cc1cccc(O)c1,3-Methylphenol,-2.313,1,108.14,1,1,0,20.23,-0.68,"This molecule is a colorless liquid with a sweet tarry odor. Sinks and mixes slowly with water. (USCG, 1999) This molecule is a cresol with the methyl substituent at position 3. It is a minor urinary metabolite of toluene. It has a role as a human xenobiotic metabolite. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Geosmithia langdonii, Daphne odora, and other organisms with data available. This molecule is an isomer of p-cresol and o-cresol. Cresols are organic compounds which are methylphenols. They are a widely occurring natural and manufactured group of aromatic organic compounds which are categorized as phenols (sometimes called phenolics). Depending on the temperature, cresols can be solid or liquid because they have melting points not far from room temperature. Like other types of phenols, they are slowly oxidized by long exposure to air and the impurities often give cresols a yellowish to brownish red tint. Cresols have an odor characteristic to that of other simple phenols, reminiscent to some of a medicine smell. Cresol solutions are used as household cleaners and disinfectants, perhaps most famously under the trade name Lysol. In the past, cresol solutions have been used as antiseptics in surgery, but they have been largely displaced in this role by less toxic compounds. Lysol was also advertised as a disinfecting vaginal douche in mid-twentieth century America. Cresols are found in many foods and in wood and tobacco smoke, crude oil, coal tar, and in brown mixtures such as creosote and cresylic acids, which are wood preservatives. Small organisms in soil and water produce cresols when they break down materials in the environment. Most exposures to cresols are at very low levels that are not harmful. When cresols are breathed, ingested, or applied to the skin at very high levels, they can be very harmful. Effects observed in people include irritation and burning of skin, eyes, mouth, and throat; abdominal pain and vomiting; heart damage; anemia; liver and kidney damage; facial paralysis; coma; and death. Breathing high levels of cresols for a short time results in irritation of the nose and throat. Aside from these effects, very little is known about the effects of breathing cresols, for example, at lower levels over longer times. Ingesting high levels results in kidney problems, mouth and throat burns, abdominal pain, vomiting, and effects on the blood and nervous system. Skin contact with high levels of cresols can burn the skin and damage the kidneys, liver, blood, brain, and lungs. (wikipedia).",CHEMBL298312
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,Indapamide,-4.345,1,365.842,2,3,3,92.5,-3.5860000000000003,,
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,Lovastatin,-4.731,1,404.54700000000025,1,3,6,72.83,-6.005,,
O=N(=O)c1ccc(cc1)N(=O)=O,"1,4-Dinitrobenzene",-2.281,1,168.10799999999995,0,1,2,86.28,-3.39,,
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,Reposal,-2.781,1,262.309,2,3,2,75.27000000000001,-2.696,,
CCCCCCCCCC(=O)OCC,Ethyl decanoate,-3.671,1,200.322,0,0,9,26.3,-4.1,"This molecule is a fatty acid ethyl ester of decanoic acid. It has a role as a metabolite. It is a fatty acid ethyl ester and a decanoate ester. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Mandragora autumnalis, Echinophora tenuifolia, and other organisms with data available.",CHEMBL3184829
CN(C)C(=O)Nc1ccccc1,Fenuron,-1.847,1,164.208,1,1,1,32.34,-1.6,"This molecule is a member of the class of 3-(3,4-substituted-phenyl)-1,1-dimethylureas that is urea in which one of the nitrogens is substituted by a phenyl group while the other is substituted by two methyl groups. It is a herbicide used for the control of weeds in beetroot as well as various vegetable and ornamental crops. It has a role as an agrochemical, an environmental contaminant, a herbicide, a xenobiotic and a photosystem-II inhibitor. This molecule is a mineral with formula of (Au,Ag).",CHEMBL1492698
CCCOCC,Ethyl propyl ether,-1.072,1,88.14999999999999,0,0,3,9.23,-0.66,,
CC(C)O,2-Propanol,-0.261,1,60.096,1,0,0,20.23,0.43,"Volatile, colorless liquid with a sharp musty odor like rubbing alcohol. Flash point of 53 °F. Vapors are heavier than air and mildly irritating to the eyes, nose, and throat. Density approximately 6.5 lb / gal. Used in making cosmetics, skin and hair preparations, pharmaceuticals, perfumes, lacquer formulations, dye solutions, antifreezes, soaps, window cleaners. Sold in 70% aqueous solution as rubbing alcohol. This molecule is a secondary alcohol that is propane in which one of the hydrogens attached to the central carbon is substituted by a hydroxy group. It has a role as a protic solvent. It is a secondary fatty alcohol and a secondary alcohol. An isomer of 1-propanol. It is a colorless liquid having disinfectant properties. It is used in the manufacture of acetone and its derivatives and as a solvent. Topically, it is used as an antiseptic. This molecule is an isomer of propyl alcohol with antibacterial properties. Although the exact mechanism of isopropanol's disinfecting action is not known, it might kill cells by denaturing cell proteins and DNA, interfering with cellular metabolism, and dissolving cell lipo-protein membranes. Isopropanol is used in soaps and lotions as an antiseptic. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Opuntia ficus-indica, Malus pumila, and other organisms with data available. This molecule is an isomer of 1-propanol. It is a colorless liquid having disinfectant properties. It is used in the manufacture of acetone and its derivatives and as a solvent. Topically, it is used as an antiseptic. Small amounts of this alcohol are produced naturally by gut microbial flora.",CHEMBL582
Cc1ccc2ccccc2c1,2-Methylnapthalene,-3.802,1,142.201,0,2,0,0.0,-3.77,"This molecule is a white crystalline solid. (NTP, 1992) This molecule is a methylnaphthalene carrying a methyl substituent at position 2. This molecule is a natural product found in Camellia sinensis, Zea mays, and other organisms with data available. This molecule is one of over 100 different polycyclic aromatic hydrocarbons (PAHs). PAHs are chemicals that are formed during the incomplete burning organic substances, such as fossil fuels. They are usually found as a mixture containing two or more of these compounds. (L10)",CHEMBL195895
ClC(Br)Br,Chlorodibromethane,-2.54,1,208.28,0,0,0,0.0,-1.9,"This molecule is a clear colorless to yellow-orange liquid. Density 2.451 g / cm3. No flash point. This molecule is an organochlorine compound. This molecule is a natural product found in Ascophyllum nodosum, Mastocarpus stellatus, and other organisms with data available. These molecules are colorless to yellow, heavy, nonburnable liquids with a sweetish odor. These chemicals are possible contaminants of drinking water that has been chlorinated. Bromoform and dibromochloromethane may form when chlorine reacts with other naturally occurring substances in water, such as decomposing plant material. Plants in the ocean also produce small amounts of these chemicals. Carcinogenic effects have been observed in animals exposed to bromoform and dibromochloromethane. Dibromochloromethane induced liver tumors in male and female mice. The primary targets of bromoform and dibromochloromethane toxicit are liver, kidney, and central nervous system.",CHEMBL157093
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,Hexestrol,-4.854,1,270.372,2,2,5,40.46,-4.43,,
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Malathion,-3.391,1,330.3640000000001,0,0,9,71.06,-3.37,"This molecule is an insecticide that does not occur naturally. Pure malathion is a colorless liquid, and technical-grade malathion, which contains >90% malathion and impurities in a solvent, is a brownish-yellow liquid that smells like garlic. This molecule is used to kill insects on farm crops and in gardens, to treat lice on humans, and to treat fleas on pets. This molecule is also used to kill mosquitos and Mediterranean fruit flies on (medflies) in large outdoor areas. This molecule is a yellow to dark-brown liquid with a skunk-like odor. Sinks in water. Freezing point is 37 °F. (USCG, 1999) This molecule is a diester that is diethyl succinate in which position 2 is substituted by a (dimethoxyphosphorothioyl)thio group. It is a diester, an ethyl ester and an organic thiophosphate. It is functionally related to a diethyl 2-sulfanylbutanedioate. This molecule is a parasympathomimetic organophosphate compound that is used as an insecticide for the treatment of head lice. This molecule is an irreversible cholinesterase inhibitor and has low human toxicity. This molecule is a Cholinesterase Inhibitor. The mechanism of action of malathion is as a Cholinesterase Inhibitor. This molecule is a synthetic phosphorous compound and cholinesterase inhibitor that is strictly used as a topical pediculicide. This molecule exerts its action on the nervous system of the lice by irreversibly inhibiting the activity of cholinesterase, thereby allowing acetylcholine to accumulate at cholinergic synapses and enhancing cholinergic receptor stimulation. This eventually leads to the head lice's death. This molecule is an organophosphate parasympathomimetic which binds irreversibly to cholinesterase. This molecule is an insecticide of relatively low human toxicity.",CHEMBL1200468
ClCc1ccccc1,Benzylchloride,-2.887,1,126.58599999999996,0,1,1,0.0,-2.39,"This molecule appears as a colorless liquid with an irritating odor. Toxic by inhalation and skin absorption. Flash point 153 °F. Slightly soluble in water. Corrosive to metals and tissue. A lachrymator. Density 9.2 lb /gal. This molecule is a member of the class of benzyl chlorides that is toluene substituted on the alpha-carbon with chlorine. This molecule is used as a chemical intermediate in the manufacture of certain dyes and pharmaceutical products and as a photographic developer. The acute (short-term) effects of benzyl chloride from inhalation exposure in humans consist of severe irritation of the upper respiratory tract, skin, eyes, and mucous membranes, and lung damage along with pulmonary edema (fluid in lungs). Exposure to high concentrations also causes effects on the central nervous system (CNS). Animal data indicate that long- term exposure to benzyl chloride by gavage (placing it experimentally in the stomachs of mice) increased the incidence of benign and malignant tumors at multiple sites and resulted in a significant increase in thyroid tumors in female rats. EPA has classified benzyl chloride as a Group B2, probable human carcinogen.",CHEMBL498878
C/C=C/C=O,t-Crotonaldehyde,-0.604,1,70.09100000000001,0,0,1,17.07,0.32,"This molecule is a water-white to straw-colored liquid with a pungent, suffocating odor. Used as a chemical intermediate in a variety of industrial processes (surfactants, textiles, paper, fuels, insecticides, leather tanning, etc.). Used in chemical warfare. (EPA, 1998) This molecule is an enal consisting of propene having a formyl group at the 1-position. This molecule is an unsaturated aldehyde with commercial applications, including the manufacture of sorbic acid, that is also found in tobacco smoke, gasoline and diesel engine exhausts, and smoke from wood burning. Airborne exposure to this chemical can cause eyes, nose, throat, and lung irritation. This molecule is a natural product found in Artemisia judaica, Zanthoxylum schinifolium, and Nicotiana tabacum with data available.",CHEMBL1086445
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,Chlorbromuron,-3.938,1,293.548,1,1,2,41.57,-3.924,This molecule is a member of ureas.,CHEMBL1275654
Cc1c2ccccc2c(C)c3ccccc13,"9,10-Dimethylanthracene",-5.228,1,206.288,0,3,0,0.0,-6.57,,
CCCCCC(=O)OC,Methyl hexanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.87,,
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,Dimefuron,-3.831,1,338.79500000000013,1,2,2,80.37,-4.328,,
CC(=O)Nc1ccc(F)cc1,p-Fluoroacetanilide,-2.181,1,153.156,1,1,1,29.1,-1.78,,CHEMBL125099
CCc1cccc(CC)c1N(COC)C(=O)CCl ,alachlor,-3.319,1,269.77199999999993,0,1,6,29.54,-3.26,,
C1CCC=CC1,Cyclohexene,-2.16,2,82.146,0,1,0,0.0,-2.59,,
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,Hydrocortisone ,-3.159,1,362.4660000000002,3,4,2,94.83,-3.09,,
c1cncnc1,Pyrimidine,-0.884,2,80.08999999999999,0,1,0,25.78,1.1,"This molecule is the parent compound of the pyrimidines; a diazine having the two nitrogens at the 1- and 3-positions. It has a role as a Daphnia magna metabolite. It is a member of pyrimidines and a diazine. These molecules is one of two classes of heterocyclic nitrogenous bases found in the nucleic acids DNA and RNA: in DNA the pyrimidines are cytosine and thymine, in RNA uracil replaces thymine. This molecule is a metabolite found in or produced by Escherichia coli (strain K12, MG1655). This molecule is a natural product found in Homo sapiens, Panax ginseng, and other organisms with data available.",CHEMBL15562
Clc1ccc(cc1)N(=O)=O,p-Chloronitrobenzene,-2.901,1,157.55599999999998,0,1,1,43.14,-2.92,,
CCC(=O)OC,Methyl propionate,-0.836,1,88.106,0,0,1,26.3,-0.14,"This molecule appears as a clear colorless liquid. Flash point 28 °F. Density about the same as water. Vapors heavier than air. May irritate skin, eyes, and mucous membranes. Used for flavoring and as a solvent. This molecule is a carboxylic ester. This molecule is a natural product found in Durio zibethinus, Actinidia chinensis, and other organisms with data available.",CHEMBL3183973
Clc1ccccc1N(=O)=O,o-Chloronitrobenzene,-2.775,1,157.55599999999998,0,1,1,43.14,-2.55,,
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Neburon,-4.157,1,275.179,1,1,4,32.34,-4.77,This molecule is a member of ureas.,CHEMBL75410
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,Buthidazole,-2.398,1,256.331,1,2,1,69.56,-1.877,,
O=N(=O)c1ccccc1,Nitrobenzene,-2.2880000000000003,1,123.11099999999996,0,1,1,43.14,-1.8,,
Ic1ccccc1,Iodobenzene,-3.8,1,204.01,0,1,0,0.0,-3.01,,CHEMBL116296
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,Metolazone,-3.777,1,365.8420000000001,2,3,2,92.5,-3.78,,
COc1ccccc1OCC(O)COC(N)=O,Methocarbamol,-1.4280000000000002,1,241.243,2,1,6,91.01,-0.985,"This molecule is a commonly used, centrally acting muscle relaxant and has not been linked to instances of liver injury. This molecule is a carbamate ester that is glycerol in which one of the primary alcohol groups has been converted to its 2-methoxyphenyl ether while the other has been converted to the corresponding carbamate ester. It is a carbamate ester, a secondary alcohol and an aromatic ether. This molecule was developed in the early 1950s as a treatment for muscle spasticity and the associated pain. It is a guaiacol glyceryl ether.  This molecule tablets and intramuscular injections are prescription medicines indicated in the United States as an adjunct to rest, physical therapy, and other measures for the relief of discomforts associated with acute, painful musculoskeletal conditions. In Canada, methocarbamol can be sold as an over the counter oral medicine at a lower dose that may be combined with [acetaminophen] or [ibuprofen]. A combination product with [acetylsalicylic acid] and [codeine] is available in Canada by prescription.  This molecule was FDA approved on 16 July 1957. This molecule is a Muscle Relaxant. The physiologic effect of methocarbamol is by means of Centrally-mediated Muscle Relaxation. This molecule is a carbamate with centrally acting muscle relaxant properties. Though the exact mechanism of action of methocarbamol was not established, it's postulated to be via a mechanism similar of carbamate, inhibition of acetylcholinesterase at synapses in the autonomic nervous system, neuromuscular junction, and central nervous system. This molecule has no direct effect on the contractile mechanism of striated muscle, the motor end plate or the nerve fiber.",CHEMBL1201117
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,butachlor,-4.347,1,311.85300000000007,0,1,9,29.54,-4.19,,
Oc1cccc(Cl)c1Cl,"2,3-Dichlorophenol",-3.144,1,163.003,1,1,0,20.23,-1.3,"This molecule appears as brown crystals (from ligroin, benzene). Taste threshold concentration 0.00004 mg/L. Odor threshold concentration 0.03 mg/L. (NTP, 1992)",CHEMBL16656
CCCC(=O)OC,Propyl butyrate,-1.1909999999999998,1,102.13299999999998,0,0,2,26.3,-1.92,"This molecule appears as a clear colorless liquid. Flash point 57 °F. Less dense than water and slightly soluble in water. Hence floats on water. Vapors heavier than air. This molecule is a fatty acid ester. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Peristeria elata, Picea abies, and other organisms with data available.",CHEMBL15859
CCC(=O)Nc1ccc(Cl)c(Cl)c1,Propanil,-3.644,1,218.083,1,1,2,29.1,-3.0,"This molecule appears as colorless to brown crystals. Non corrosive. Used as an herbicide. This molecule is an anilide resulting from the formal condensation of the carboxy group of propanoic acid with the amino group of 3,4-dichloroaniline. It is a herbicide used for the treatment of numerous grasses and broad-leaved weeds in rice, potatoes, and wheat. It has a role as a herbicide. It is an anilide and a dichlorobenzene. It is functionally related to a 3,4-dichloroaniline.",CHEMBL1222498
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,Triamterene,-3.051,1,253.26900000000003,3,3,1,129.62,-2.404,,
CCCCCC(=O)OCC,Ethyl hexanoate,-2.254,1,144.21399999999997,0,0,5,26.3,-2.35,,
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,chloralose,-1.887,1,309.529,3,2,2,88.38000000000001,-1.84,,
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,Amitraz,-5.533,1,293.41400000000004,0,2,4,27.96,-5.47,,
COc1nc(NC(C)C)nc(NC(C)C)n1,Prometon,-3.448,1,225.296,2,1,5,71.96000000000001,-2.478,"This molecule is a methoxy-1,3,5-triazine that is 6-methoxy-1,3,5-triazine-2,4-diamine in which the one of the hydrogens of each amino group is substituted by an isopropyl group. It has a role as a herbicide, an environmental contaminant and a xenobiotic. It is a diamino-1,3,5-triazine and a methoxy-1,3,5-triazine. It is functionally related to a 6-methoxy-1,3,5-triazine-2,4-diamine. This molecule is a herbicide used for killing annual and perennial broad-leaf weeds to aid in brush and grass control mainly in non-cropping situations. It is a nonselective herbicide which can be applied before or following weed emergence.  It controls most annual and many perennial broadleaf weeds and grasses, such as Johsongrass, Bermudagrass, foxtail, mustards, ragweeed, plantain, quackgrass, horsetail, watergrass, chickweed, catchfly, cocklebur, mullein, crabgrass, dock, goosegrass, etc.",CHEMBL1486524
CCCCCCC=C,1-Octene ,-3.073,1,112.216,0,0,5,0.0,-4.44,,
